CLID	subtype	ACTR3B	ANLN	BAG1	BCL2	BIRC5	BLVRA	CCNB1	CCNE1	CDC20	CDC6	CDH3	CENPF	CEP55	CXXC5	EGFR	ERBB2	ESR1	EXO1	FGFR4	FOXA1	FOXC1	GPR160	GRB7	KIF2C	KRT14	KRT17	KRT5	MAPT	MDM2	MELK	MIA	MKI67	MLPH	MMP11	MYBL2	MYC	NAT1	ORC6L	PGR	PHGDH	PTTG1	RRM2	SFRP1	SLC39A6	TMEM45B	TYMS	UBE2C	UBE2T
TCGA-BH-A0BJ-01A	0	140.949	278.311	1668.32	2635.34	115.28	2466.42	632.655	46.9829	241.37	150.632	716.937	1137.63	109.029	749.216	376.577	8190.08	6003.05	140.231	30.8437	6344.12	179.324	1719	403.837	185.062	827.759	813.413	1724.38	4275.08	1764.19	128.755	51.2687	740.608000000001	3791.27	8032.64	204.788	844.616	14250.9	59.5356	5576.75	797.633	200.843	620.102	3245.05	35855.8	177.531	231.235	163.543	177.889
TCGA-BH-A0BL-01A	1	893.633	1397.9	441.549	582.989	525.049	738.919	1157.47	376.603	735.576	452.896	7354.24	5183.68	801.23	296.358	831.31	3518.91	117.327	368.092	49.545	71.1259	3517.09	159.881	309.732	593.932	812.781	17256.2	8685.57	106.993	1319.17	498.793	205.606	5345.39	353.502	20685.2	1586.96	1541.97	217.329	313.683	125.793	2480.9	525.237	850.775	2418.89	3643.53	4.8633	1452.24	612.473	344.991
TCGA-BH-A0BM-01A	0	371.974	32.4841	2486.27	2085.99	31.2229	770.701	242.675	14.0127	71.9745	43.3121	836.306	178.981	43.949	627.389	498.707	6666.88	6447.77	16.5605	54.1401	8838.84999999999	353.503	2425.48	431.847	28.0255	5154.14	4957.96	7590.45	1433.12	1972.61	12.7389	186.624	131.847	8953.5	3348.41	27.3885	1535.67	6871.34	11.465	303.822	1173.25	60.5096	83.4395	11893.6	16687.9	294.904	127.631	49.6815	68.1529
TCGA-BH-A0BO-01A	0	125.081	198.506	1587.37	1967.84	25.1559	1192.01	171.54	17.5439	50.0325	90.9682	1938.6	397.661	70.5003	551.332	753.736	6377.52	10528.6	24.3665	39.961	3142.95	686.16	734.568	304.418	47.4334	6843.08	11838.9	11662.8	3889.54	1768.68	44.5094	54.9545	345.354	5773.55	2166.34	52.3067	9113.06	4035.09	16.8941	1862.19	959.714	48.0832	164.393	2809.62	15665	282.001	182.154	36.7122	43.5348
TCGA-BH-A0BP-01A	0	162.488	366.6	1012.92	2726.68	141.78	1440.32	304.915	37.1113	362.086	73.7212	1544.63	838.515	109.328	993.982	329.955	3139.92	12322.5	109.829	68.2046	5759.78	197.593	880.642	190.07	251.254	3856.57	2873.12	3072.72	1561.69	1992.48	88.7663	124.238	850.049999999999	7675.53	4128.39	444.834	1788.87	5981.95	35.1053	132.397	703.611	135.908	549.147	2985.46	19679	39.6189	335.436	312.939	154.965
TCGA-BH-A0BQ-01A	0	170.329	223.061	2957.02	2308.07	132.311	907.177	445.655	42.9322	230.527	157.263	1400.43	1041.57	137.663	551.119	248.727	11434.4	5026.34	94.7309	109.197	6131.37	231.461	687.382	699.049	201.128	3946.5	4229.29	4180.76	3505.98	1419.1	126.93	153.529	619.251	5003	16717	330.858	2874.59	5570.92	24.266	2051.11	604.784	172.662	391.523	2888.59	21864.6	271.593	406.241	138.13	211.861
TCGA-BH-A0BR-01A	0	144.635	693.133	909.927	308.154	326.545	1854.08	1154.94	1362.66	845.923	271.245	2275.11	1201.29	364.807	683.691	296.567	5895.28	1478.97	143.348	126.609	5442.92	211.159	4145.49	343.777	600.858	681.974	1298.71	860.944	609.013	1554.08	193.991	13.7339	2118.03	3873.39	28933.9	1368.67	578.97	633.047	192.275	54.9356	1327.04	279.399	1395.71	313.734	15356.2	106.867	530.103	553.648	166.524
TCGA-BH-A0BS-01A	0	97.1035	434.053	1330.86	2569.36	206.97	3489.58	723.097	30.1021	290.016	328.534	119.761	1745.92	288.397	567.408	70.8855	11005.4	36832.3	140.476	12.2998	7852.44	73.7986	3726.18	178.023	233.696	835.737	475.807	766.47	5162.99	3027.36	227.222	12.6235	1455.58	3896.12	1139.35	228.517	388.738	15770.9	29.7784	1592.15	606.897	163.458	1243.25	849.979	160679	119.114	374.719	207.154	178.023
TCGA-BH-A0BT-01A	0	113.125	272.651	1896.21	194.422	211.989	2512.15	415.304	32.2119	274.185	225.483	1155.79	840.194	162.977	450.2	95.8688	15643.9	7339.33	134.216	1451.07	11841.7	100.854	1694.19	453.651	209.377	1526.62	2290.11	1549.24	2722.67	1443.4	189.82	40.9053	506.187	6496.07	8134.66	456.336	1057.62	138.435	30.678	6498	1407.74	134.216	376.956	561.408	5487.91	203.625	200.032	365.452	325.954
TCGA-BH-A0BV-01A	0	139.294	352.264	1961.1	2517.27	187.606	2223.33	751.727	26.8611	381.044	219.494	125.096	2004.99	212.97	937.836	110.13	6117.04	20472.4	134.689	7.6746	9798.54	89.0253	859.171	463.546	262.855	304.682	190.714	230.238	1410.21	1746.74	163.469	6.1627	1811.59	4862.62	6533	321.182	1334.23	600.154	101.305	5762.35	214.505	245.587	401.765	255.18	134441	39.1404	426.086	392.556	318.496
